term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56,tag57,tag58,tag59,tag60,tag61,tag62,tag63,tag64,tag65,tag66,tag67,tag68,meaninglanguage1,meaning1,meaninglanguage2,meaning2
fensterbrett,...hatte sie auf dem Fensterbrett stehen.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,(das) підвіконня,,
pustete,Erschrocken pustete sie das Streichholz aus...,verb,ich,indikativ,präteritum,pusten,Substantiv,verb,indikativ,ich,präteritum,substantiv,pusten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,"дуть

тяжело дышать, пыхтеть, сопеть

радио жарг посылать (сигнал)",,
zurücktrat,"...als er vom Fenster zurücktrat, dass Meggies Herz nur...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"resigned, retreated",,
übernachten,"...bei meiner Freundin Selina übernachten“, sagt Eva.",verb,ich,futur,Substantiv,verb,futur,ich,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"lodge, stay overnight, stay over, remain",,
geräusch,Da hört er ein Geräusch,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(das, -e) noise",,
gemeint,hat seine Mutter dazu gemeint,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"meant, intended, planned, meant for",,
toll,Berlin ist einfach toll,Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"goodie, great!, wonderful!, neat;mad, crazy, wild; great, wonderful",,
dazugelernt,"Das bedeutet, dass Sie dazugelernt haben.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,to learn something new/additionally,,
püppchen,...schwäbischer Dialekt und heißt Püppchen.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,(die) лялька,,
klettern,"...du auf einen Baum klettern?“, fragt Michael Eva.",verb,präsens,wir,heraufklettern,hinaufklettern,Substantiv,verb,präsens,wir,substantiv,heraufklettern,hinaufklettern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"scale, climb, ascend, go up, mount",,
kleben,Den Schlüssel kleben Sie unter das Telefon.,verb,präsens,wir,ankleben,aufkleben,zukleben,zusammenkleben,Substantiv,verb,präsens,wir,substantiv,zusammenkleben,aufkleben,zukleben,ankleben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"stick, adhere",,
geräusche,Plötzlich hören wir Geräusche.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(das) noises,,
sowas,"er hat keine Lust, sowas Banales zu essen",Pronomen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"such a thing, like this",,
brieföffner,"...die Schublade mit dem Brieföffner, der auf dem Schreibtisch...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) letter opener or paper knife,,
eilig,Ich habe es nicht eilig.“,Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"hasty, quick, hurried, urgent",,
aufmachte,...ersten Reise nach Russland aufmachte.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"start out, sally forth",,
einzelne,Ich bin jede einzelne Stufe aufgestiegen.,Adjektiv,Pronomen,adjektiv,pronomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,individual,,
verschlafen,Verschlafen,verb,präsens,wir,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1) проспать (какое-л. время)  2) проспать (пропустить что-л.),,
beruhigen,...und sie muss ihn beruhigen: „Sicher geht es Felix...,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. sooth, calm down, appease",,
reglos,Eine weiße Gestalt steht reglos in der Tür,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj. motionless, still, stationary,",,
gesprächsbericht,"...haben, werden Sie einen Gesprächsbericht erhalten.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,conversation report,,
hinkt,"...ist sie nicht, sie hinkt auch ein bisschen, aber...",verb,präsens,er/sie/es,hinken,verb,präsens,er/sie/es,hinken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,"(er/sie/es) хромає, відстає",,
staatsbürgerschaft,...mit siebzehn die deutsche Staatsbürgerschaft ab.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Citizenship,,
raten,"...Schweizer Patentamt arbeiten?“ Freunde raten ihm, sich noch einmal...",verb,präsens,wir,abbraten,zuraten,Substantiv,verb,präsens,wir,substantiv,abbraten,zuraten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v.  advise, counsel, offer guidance, instruct; guess, solve",,
bewirbt sich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,applies,,
strümpfe,"...seine Jacke uralt, und Strümpfe trägt er gar nicht.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,Stockings,,
reibereien,...gibt es immer wieder Reibereien.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, -en) friction",,
uralt,"...zu kurz, seine Jacke uralt, und Strümpfe trägt er...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"ancient, very old",,
veröffentlicht,1905 veröffentlicht Albert Einstein vier...,verb,präsens,er/sie/es,veröffentlichen,verb,präsens,er/sie/es,veröffentlichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"published, launched",,
blass,Die Dunkelheit war blass vom Regen und der…,Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"faded, pale,  faint, wan,",,
es ist soweit,"Es ist soweit“, sagt Albert zu seiner...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"It’s happening. [idiom], the time has come",,
triefte,"Der Regen triefte auf ihn herab, aber…",verb,ich,indikativ,präteritum,triefen,Substantiv,verb,indikativ,ich,präteritum,substantiv,triefen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,dripped,,
brust,"…die Arme um die Brust geschlungen, als wollte er…",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die) breast, chest, bosom",,
beachtete,"…ihn herab, aber er beachtete ihn nicht.",verb,ich,indikativ,präteritum,beachten,Adjektiv,adjektiv,verb,indikativ,ich,präteritum,beachten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(ich//er/sie/es) v. prät. noticed, listened, noted, observed, overlook",,
bereite,ich mich um und bereite mir mein Frühstück vor,verb,ich,präsens,aufbereiten,bereiten,nachbereiten,vorbereiten,wiederaufbereiten,zubereiten,Adjektiv,verb,präsens,ich,bereiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(ich) prepare,,
beiß,"...Stimmen: „Ja ja, los! Beiß ihn! Greif an!“",verb,du,imperativ präsens,abbeißen,abbeissen,abeisen,anbeißen,aufbeißen,aufeinanderbeißen,ausbeißen,beißen,beissen,durchbeißen,entzweibeißen,festbeißen,herausbeißen,hinausbeißen,hineinbeißen,reinbeißen,totbeißen,wegbeißen,zubeißen,zusammenbeißen,verb,du,imperativ präsens,beißen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,bite,,
bremst,Neben den beiden Jungen bremst sie plötzlich und fahrt...,verb,präsens,du,abbremsen,bremsen,Substantiv,verb,präsens,ihr,du,er/sie/es,bremsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(du//er/sie/es//ihr) v. brake, stop a vehicle, slow down a vehicle",,
behandle,"Ja, ich behandle im Moment einen schwierigen...",verb,ich,präsens,behandeln,nachbehandeln,vorbehandeln,verb,präsens,ich,behandeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(ich) v.  treat, handle, relate to, deal with",,
bleib,"ARZT: Bleib ruhig, du tust dir...",verb,du,imperativ präsens,abbleiben,aufbleiben,ausbleiben,beibleiben,bleiben,fortbleiben,sitzenbleiben,übrigbleiben,zurückbleiben,Adjektiv,Adverb,adjektiv,verb,du,adverb,imperativ präsens,bleiben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,stay,,
bleibe,Also bleibe ich lieber zu Hause...,verb,ich,präsens,abbleiben,aufbleiben,ausbleiben,beibleiben,bleiben,fortbleiben,sitzenbleiben,übrigbleiben,zurückbleiben,Adverb,Substantiv,verb,präsens,ich,bleiben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(ich) remain/stay,,
bleiben,...denen Sie in Kontakt bleiben wollen.,verb,präsens,wir,abbleiben,aufbleiben,ausbleiben,beibleiben,fortbleiben,sitzenbleiben,übrigbleiben,zurückbleiben,Adverb,Substantiv,verb,präsens,sie,wir,bleiben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,to stay,,
brennt,"...nachts kaum eine Laterne brennt, wird man über dich...",verb,präsens,er/sie/es,abbrennen,anbrennen,brennen,Substantiv,verb,präsens,er/sie/es,brennen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(er/sie/es) v. burns,,
brombeeren,"...wie Blaubeeren, Himbeeren und Brombeeren.",plural,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,"(die, -n) n.pl. ожина",,
immerhin,"...beweist, ist das doch immerhin ein Motiv, ein gutes...",Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,after all,,
falle,...die Israeliten in der Falle.,verb,ich,präsens,abfallen,anfallen,auffallen,auseinanderfallen,ausfallen,einfallen,fallen,fortfallen,herabfallen,herunterfallen,runterfallen,umfallen,vorfallen,zusammenfallen,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, -n) n. trap; case (e.g., in this case)",,
folgt,"Kommt schnell! Folgt mir“, sagt der Mann.",verb,präsens,er/sie/es,folgen,nachfolgen,Adjektiv,Adverb,verb,präsens,er/sie/es,folgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(er/sie/es//ihr) v. follow,,
fülle,,verb,ich,präsens,abfüllen,auffüllen,ausfüllen,einfüllen,füllen,Substantiv,verb,präsens,ich,füllen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,fill,,
flüstert,Simon flüstert seiner Oma ins Ohr...,verb,präsens,er/sie/es,einflüstern,flüstern,zuflüstern,Substantiv,verb,präsens,er/sie/es,flüstern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(er/sie/es) v. whisper, gossip, spread a rumor, speak softly",,
haltestellen,Nach mehreren Haltestellen bin ich aus dem,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(die, -n) n. pl. stop, station, pickup station",,
entwickelt,zu einer moralischen Verpflichtung entwickelt.,verb,präsens,er/sie/es,entwickeln,Adjektiv,adjektiv,verb,präsens,er/sie/es,entwickeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,developed,,
haltestelle,Bus hat sich der Haltestelle genähert und ich sagte,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,"(die, -n) место остановки [стоянки]; остановка; стоянка, станция",,
hältst,Was hältst du zum Beispiel von...,verb,präsens,du,abhalten,anhalten,aufhalten,aushalten,durchhalten,einhalten,feilhalten,fernhalten,festhalten,halten,haushalten,heilighalten,hinhalten,innehalten,mithalten,standhalten,unterhalten,vorhalten,zurückhalten,zusammenhalten,verb,präsens,halten,du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"hold, keep, maintain; believe",,
verbrannten,...Einsteins Bücher unter den verbrannten Büchern.,verb,wir,indikativ,präteritum,verbrennen,Adjektiv,adjektiv,verb,indikativ,wir,präteritum,verbrennen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,burned,,
schweden,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subversion,"Das ist jüdische Subversion“, sagen sie.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,диверсія,,
vorträge,Einstein hält Vorträge über Politik.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,"(der, -:e) s. pl. лекції, виступи, презентаціі",,
hassen,Hitler und seine Leute hassen die Relativitätstheorie.,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"hate, dislike",,
menschenmasse,...wirklich ein Star.“ Eine Menschenmasse steht da am Ufer.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(die) crowd,,
abwesend,"...Kopf und blickte sie abwesend an, wie immer, wenn...",Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,absent,,
kämpfer,"Einstein, der Kämpfer.",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,боєць,,
jubeln,...hört er die Menschen jubeln.,verb,präsens,wir,unterjubeln,Substantiv,verb,präsens,wir,substantiv,unterjubeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,вболівати,,
segelt,In seiner Freizeit segelt er gern.,verb,präsens,er/sie/es,absegeln,ansegeln,mitsegeln,segeln,verb,präsens,er/sie/es,absegeln,mitsegeln,segeln,ansegeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,"займатись вітрильним спортом, іти під вітрилами, ширяти в повітрі; полетіти шкереберть, гепнутися",,
frieden,"Da haben wir endlich Frieden.“ Chaim Weizmann, der Zionistenführer...",verb,präsens,wir,einfrieden,Substantiv,verb,präsens,wir,substantiv,einfrieden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,"(der) n. мир, спокій, свобода",,
menschenmenge,Freundlich grüßt Einstein die Menschenmenge.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(die) crowd,,
vorzimmer,"...Erdgeschoss gibt es ein Vorzimmer, ein Wohnzimmer, ein Esszimmer...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"antechamber, anteroom, hall, reception room, waiting room",,
schwiegereltern,Früher wohnten meine Schwiegereltern im anderen Teil des...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,parents in law,,
stelzen,...aus wie Halbgötter auf Stelzen.,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,ходулі,,
kernspaltung,Bei jeder Kernspaltung werden drei Neutronen frei...,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,die: Nuclear fission,,
segeln,"...Nähe, auf dem er segeln kann.",verb,präsens,wir,absegeln,ansegeln,mitsegeln,Substantiv,verb,präsens,wir,substantiv,absegeln,mitsegeln,ansegeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,sail,,
vorlesungen,...Institut braucht er keine Vorlesungen zu halten.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"n. lecture, discourse given before an audience (especially one that is instructive)",,
allerdings,"Allerdings, so geht es mir...",Adverb,Substantiv,adverb,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"certainly, indeed, however",,
umkommen,...zu Hause im Krieg umkommen.,verb,ich,futur,Substantiv,verb,futur,ich,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"to perish, to be killed, to go to waste",,
nun,Nun kann ich selbstbewusst sprechen.,Adverb,Substantiv,adverb,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(adv) now, currently (interj) well",,
erzählt,"Sie?“ Sie hat mir erzählt, dass sie aus Italien",verb,präsens,er/sie/es,erzählen,Adverb,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,сообщил,,
gebracht,habe sie ins Bett gebracht und sie ist sofort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,brought,,
stamm,"Geert ist ein schlanker Stamm, und Effi soll der...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der) stem, trunk | line, tribe",,
zeigen,"Morgen zeigen wir euch alles, aber...",verb,präsens,wir,anzeigen,aufzeigen,herumzeigen,vorzeigen,Substantiv,verb,präsens,wir,substantiv,vorzeigen,herumzeigen,aufzeigen,anzeigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uk,"демонструвати, показувати",,
ziel,"Ja. Ein Plan, ein Ziel - ist jemand im Weg...",Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(das) destination, aim, goal, objective, target, finish",,
verzichtet,Er verzichtet auf fettige Speisen,verb,präsens,er/sie/es,verzichten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,does without,,
schlägt,Sein Vater schlägt die Zeitung auf,verb,präsens,er/sie/es,abschlagen,anschlagen,aufschlagen,ausschlagen,einschlagen,entgegenschlagen,fehlschlagen,nachschlagen,niederschlagen,schlagen,unterschlagen,vorschlagen,zuschlagen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"hit, strike, beat",,
reden,...Sie mit einem Muttersprachler reden.,verb,präsens,wir,anreden,ausreden,daherreden,einreden,kleinreden,klugreden,mitreden,schlechtreden,schönreden,Adverb,Substantiv,verb,präsens,anreden,wir,adverb,substantiv,einreden,ausreden,mitreden,kleinreden,klugreden,schönreden,schlechtreden,daherreden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"v. to talk, to speak; n. (die) (pl.) speeches; n. (das) (sing.) talking, speaking",,
untersucht,Er untersucht Julia.,Adjektiv,adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,inspected,,
berührt,Er berührt ihre Stirn.,verb,präsens,er/sie/es,berühren,Adjektiv,Substantiv,adjektiv,verb,präsens,substantiv,er/sie/es,berühren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,touched,,
riecht,,verb,präsens,er/sie/es,riechen,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,smell,,
erzählen,...Polizei gehen und alles erzählen.“ Die glauben mir doch...,verb,präsens,wir,Substantiv,verb,präsens,wir,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,to tell,,
wissenschaftler,Er will Wissenschaftler werden.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,(der) scientist (n pl) scientists,,
empfängen,Bei offiziellen Empfängen langweilt er sich.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(der, -en) n. pl. reception",,
strahlender,"…klingt wunderbar. Da heute strahlender Sonnenschein ist, würden wir…",Adjektiv,Substantiv,adjektiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"beaming, bright, shining, gleaming, radiant",,
atomkern,Sie wollen einen Atomkern spalten.,Substantiv,substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,atomic nucleus,,
spalten,Sie wollen einen Atomkern spalten.,verb,präsens,wir,abspalten,aufspalten,Substantiv,verb,präsens,wir,substantiv,abspalten,aufspalten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"split, crack, chop",,
klappt,Es klappt.,verb,präsens,er/sie/es,klappen,Substantiv,verb,präsens,klappen,substantiv,er/sie/es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,work,,
allgemeineren,"...zu einer neuen, noch allgemeineren Theorie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,more general,,
gar nicht,Miete und es ist gar nicht seine Freundin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"not at all, not one bit, no way, never, in no manner",,
spöttisch,"…nicht entscheiden, ob es spöttisch, herablassend oder einfach nur…",Adjektiv,Adverb,adjektiv,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"mocking, derisive, scornful, ironic",,
ausgestreckte,,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,outstretched,,
bedrohlich,Rauschen des Regens klang bedrohlich laut,Adjektiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,dreadfully,,
tauchte,"und aus der Dunkelheit tauchte der Mann auf, der",verb,ich,indikativ,präteritum,abtauchen,auftauchen,eintauchen,tauchen,untertauchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"(auftauchen) - to appear, arise",,
feucht,"drang herein, dunkel und feucht, und das Rauschen des",Adjektiv,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"adj. damp, wet, moist, humid; clammy and wet; muggy, hot and humid (Weather)",,
entsinnen,"Meggie konnte sich nicht entsinnen, ihn je gehört zu",verb,präsens,wir,Substantiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,"remember, recall, recollect",,
