lemma,word,pos
hören,hören,VERB
ignorieren,ignorieren,VERB
informieren,informiert,VERB
informieren,informieren,VERB
interessieren,interessiere,VERB
interessieren,interessiert,VERB
joggen,jogge,VERB
kaufen,kauft,VERB
kaufen,kaufen,VERB
kaufen,kaufe,VERB
kaufen,gekauft,VERB
kehren,kehren,VERB
kennen,kenn,VERB
kennen,kennt,VERB
kennen,kenntest,VERB
kennen,gekannt,VERB
kennen,kanntest,VERB
kennen,kenne,VERB
kennen,Kennst,VERB
kennen,kennet,VERB
klappen,geklappt,VERB
klappen,klappt,VERB
kochen,kochen,VERB
kochen,kocht,VERB
kommen,kam,VERB
kommen,komme,VERB
kommen,Komm,VERB
kommen,kommst,VERB
kommen,kommen,VERB
kommen,kommt,VERB
kontrollieren,kontrollieren,VERB
konzentrieren,Konzentriere,VERB
kosten,kosten,VERB
kosten,kostet,VERB
kriegen,kriege,VERB
kriegen,kriegen,VERB
können,kannst,AUX
können,könnte,AUX
können,Können,AUX
können,konnte,AUX
können,kann,AUX
können,könntest,AUX
können,Könnt,VERB
können,Kann,AUX
können,können,AUX
können,Kannst,VERB
kümmern,kümmern,VERB
kündigen,gekündigt,VERB
lachen,lachen,VERB
lachen,lachst,VERB
lachen,gelacht,VERB
laden,lädt,VERB
lassen,lassen,VERB
lassen,lass,VERB
lassen,gelasst,VERB
lassen,gelassen,VERB
lassen,Lasst,VERB
lassen,ließt,VERB
lassen,ließest,VERB
lassen,ließen,VERB
lassen,ließ,VERB
lassen,lässt,VERB
laufen,läufst,VERB
laufen,laufe,VERB
laufen,laufen,VERB
laufen,läuft,VERB
lauten,lautet,VERB
leben,lebt,VERB
leben,lebe,VERB
leben,leben,VERB
legen,Legen,VERB
leihen,leihen,VERB
leiten,leiten,VERB
lernen,lerne,VERB
lernen,lernt,VERB
lernen,lernen,VERB
lesen,liest,VERB
lesen,lese,VERB
lesen,lesen,VERB
lesen,Lesen,VERB
lesen,gelesen,VERB
lieben,geliebt,VERB
lieben,lieben,VERB
liefern,liefern,VERB
liegen,liege,VERB
liegen,liegt,VERB
lügen,lügt,VERB
lügen,lügen,VERB
machen,machst,VERB
machen,gemacht,VERB
machen,machen,VERB
machen,Machen,VERB
machen,mache,VERB
machen,Mach,VERB
machen,macht,VERB
malen,malen,VERB
meinen,meine,VERB
meinen,gemeint,VERB
meinen,meinte,VERB
meinen,meinst,AUX
meinen,meintest,VERB
meinen,meint,VERB
merken,Merkst,VERB
merken,merken,VERB
mieten,mieten,VERB
mitbringen,mitbringen,VERB
mitmachen,mitmachen,VERB
mitnehmen,mitnehmen,VERB
mögen,Möchten,AUX
mögen,möchte,AUX
mögen,Möchtet,VERB
mögen,mag,VERB
mögen,Möchtest,VERB
mögen,möchten,AUX
müssen,muss,AUX
müssen,musst,AUX
müssen,Muss,AUX
müssen,musste,AUX
müssen,müssen,AUX
nehmen,nehme,VERB
nehmen,nimmst,VERB
nehmen,nehmt,VERB
nehmen,nehmen,VERB
nehmen,Nimm,VERB
nehmen,Nehmen,VERB
nehmen,genommen,VERB
nehmen,nahmst,VERB
notieren,notieren,VERB
notieren,Notieren,VERB
organisieren,organisierte,VERB
organisieren,organisieren,VERB
parken,parken,VERB
passen,passt,VERB
passieren,passiert,VERB
pausieren,pausieren,VERB
pflanzen,gepflanzt,VERB
prägen,prägen,VERB
prüfen,prüfen,VERB
putzen,putzt,VERB
raten,raten,VERB
rauchen,rauche,VERB
rauchen,rauchen,VERB
rausbringen,rausbringen,VERB
rauskommen,rauskommen,VERB
rechnen,rechnen,VERB
reden,reden,VERB
reden,rede,VERB
reduzieren,reduziert,VERB
regnen,regnet,VERB
reinkommen,reinkommen,VERB
reisen,reise,VERB
reisen,reisen,VERB
reiten,reiten,VERB
renovieren,renoviert,VERB
renovieren,renovieren,VERB
reparieren,reparieren,VERB
riechen,riecht,VERB
riechen,riechen,VERB
rufen,rufe,VERB
rufen,rufen,VERB
rufen,rufst,VERB
rufen,ruft,VERB
räumen,räumt,VERB
sagen,sagen,VERB
sagen,sage,VERB
sagen,gesagt,VERB
sagen,sag,VERB
